# HPRC R2 subset — provenance pinned. local_path is populated by `pangenome-primer fetch-subset --download`.
sample	hap	superpop	local_path	md5	release	population	source_url	genbank
HG01884	1	AFR	hprc-r2/assemblies/HG01884_hap1.fa.gz	785638945b339208a7a9812f3d95ee26	R2	ACB	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01884/assemblies/release2/HG01884_pat_hprc_r2_v1.0.1.fa.gz	GCA_042028275.1
HG01884	2	AFR	hprc-r2/assemblies/HG01884_hap2.fa.gz	b25db8c25bec145c2ccb3f8b3d7bdfd0	R2	ACB	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01884/assemblies/release2/HG01884_mat_hprc_r2_v1.0.1.fa.gz	GCA_042027665.1
HG01891	1	AFR	hprc-r2/assemblies/HG01891_hap1.fa.gz	9145908d535eaeb7054324d6b2f76521	R2	ACB	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01891/assemblies/release2/HG01891_pat_hprc_r2_v1.0.1.fa.gz	GCA_018467165.2
HG01891	2	AFR	hprc-r2/assemblies/HG01891_hap2.fa.gz	cd3ef368ca1a59861077a5967efca65e	R2	ACB	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01891/assemblies/release2/HG01891_mat_hprc_r2_v1.0.1.fa.gz	GCA_018467155.2
HG01960	1	AFR	hprc-r2/assemblies/HG01960_hap1.fa.gz	c1af0aaca5acd630b5cad388e2529118	R2	ACB	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01960/assemblies/release2/HG01960_pat_hprc_r2_v1.0.1.fa.gz	GCA_042037895.1
HG01960	2	AFR	hprc-r2/assemblies/HG01960_hap2.fa.gz	875f7605b925b63fbfd86d5b65e67831	R2	ACB	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01960/assemblies/release2/HG01960_mat_hprc_r2_v1.0.1.fa.gz	GCA_042037445.1
HG00097	1	EUR	hprc-r2/assemblies/HG00097_hap1.fa.gz	c189ebb1fc378f1fe798b9bc963508a0	R2	GBR	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00097/assemblies/release2/HG00097_hap1_hprc_r2_v1.0.1.fa.gz	GCA_044165215.1
HG00097	2	EUR	hprc-r2/assemblies/HG00097_hap2.fa.gz	06cd427f1598d0e1f27eaec6446828c9	R2	GBR	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00097/assemblies/release2/HG00097_hap2_hprc_r2_v1.0.1.fa.gz	GCA_044164745.1
HG00099	1	EUR	hprc-r2/assemblies/HG00099_hap1.fa.gz	ac19d8da0cae7253b94e5e691db55a7b	R2	GBR	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00099/assemblies/release2/HG00099_hap1_hprc_r2_v1.0.1.fa.gz	GCA_042032525.1
HG00099	2	EUR	hprc-r2/assemblies/HG00099_hap2.fa.gz	2f6a85e6a0266b3cf60a88e4e80d5815	R2	GBR	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG00099/assemblies/release2/HG00099_hap2_hprc_r2_v1.0.1.fa.gz	GCA_042031945.1
